title,video_url,views,video_age
Can you guess this word? (YOUR GRAMMAR SUCKS #124),https://youtube.com//watch?v=yWDQoUEctFw,416K views,1 week ago
TECH TALK (not JackAsk #105),https://youtube.com//watch?v=hnHTPYrcLSI,373K views,1 week ago
REVERSE YIAY! (YIAY #519),https://youtube.com//watch?v=V8epVgbIQ0I,547K views,2 weeks ago
Can we clean up the dirtiest song ever? (YIAY #518),https://youtube.com//watch?v=RZSA8rQwgVU,668K views,2 weeks ago
White Girl Rants about Folklore for Way Too Long (JackAsk #104),https://youtube.com//watch?v=hpFOXwjlR28,496K views,2 weeks ago
CHOOSE YOUR OWN APOLOGY VIDEO,https://youtube.com//watch?v=pg6RVbqhfK4,1.4M views,3 weeks ago
Even more rejected YIAY questions (YIAY #517),https://youtube.com//watch?v=BNEtcaPwDt8,621K views,1 month ago
FIXING YOUR FLAGS 2 (YIAY #516),https://youtube.com//watch?v=dccZfpU856o,806K views,1 month ago
Roasting my subscribers! (YIAY #515),https://youtube.com//watch?v=J37B-cWeY3o,564K views,1 month ago
GOOD NEWS (YIAY #514),https://youtube.com//watch?v=JL0fSACljrs,549K views,1 month ago
Bruh. (YIAY #513),https://youtube.com//watch?v=u3Pyaa09Ufk,629K views,1 month ago
THE CLONE PODCAST,https://youtube.com//watch?v=3H9WPMUhNL4,400K views,1 month ago
I will destroy you in Connect 4. (JackAsk #103),https://youtube.com//watch?v=Kp4ASlZb26g,567K views,1 month ago
GOOD TEA,https://youtube.com//watch?v=H3swVSU7fMg,685K views,1 month ago
The Official Flag of 2020 (YIAY #512),https://youtube.com//watch?v=jOyJ0_t8PBY,962K views,2 months ago
LET'S FIX 2020 (YIAY #511),https://youtube.com//watch?v=jODxFzIl_TY,853K views,2 months ago
Unfunny manchild can't stop winning. (Are You Funnier Than A YouTuber),https://youtube.com//watch?v=gOfrsGx-cAM,478K views,2 months ago
Updating my logo after 9 years. (YIAY #510),https://youtube.com//watch?v=PwWks2tyLB0,1.1M views,2 months ago
We need to talk about the PS5. (YIAY #509),https://youtube.com//watch?v=nE5YnoT2dow,794K views,2 months ago
The Official Class of 2020 Speech (YIAY #508),https://youtube.com//watch?v=2cfQ-1u4iHM,742K views,2 months ago
This guy cheated!! (Are You Funnier Than A YouTuber),https://youtube.com//watch?v=qhiZy4IleTc,625K views,2 months ago
