Title,Year,Duration,Rating,Total Voted,Year Released,Language,Budget,Gross,Color,Top Actors,Genre
Poor Things,2023,2h 21m,8.0,199K,"January 12, 2024","['French', 'English', 'Portuguese']","$35,000,000","$34,499,176","['Color', 'Black and White']","Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Vicki Pepperdine","Comedy, Drama, Romance"
Dune: Part Two,2024,2h 46m,8.8,264K,"March 1, 2024",['English'],"$190,000,000","$220,258,543","['Color', 'Black and White']","Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin","Action, Adventure, Drama"
Damsel,2024,1h 50m,6.1,54K,"March 8, 2024",['English'],"$70,000,000",,['Color'],"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter, Nick Robinson","Action, Adventure, Fantasy"
Oppenheimer,2023,3h,8.3,691K,"July 21, 2023","['German', 'Italian', 'English']","$100,000,000","$329,862,540","['Color', 'Black and White']","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Alden Ehrenreich","Biography, Drama, History"
Dune,2021,2h 35m,8.0,824K,"October 22, 2021","['English', 'Mandarin']","$165,000,000","$108,897,830",['Color'],"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac, Jason Momoa","Action, Adventure, Drama"
The Zone of Interest,2023,1h 45m,7.5,63K,"March 1, 2024","['German', 'Polish']","$8,480,064","$37,684,985",['Color'],"Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte, Nele Ahrensmeier","Drama, History, War"
Ricky Stanicky,2024,1h 53m,6.2,24K,"March 7, 2024",['English'],,,['Color'],"Zac Efron, John Cena, Andrew Santino, Riley Stiles, Oscar Wilson",Comedy
Kung Fu Panda 4,2024,1h 34m,6.5,11K,"March 15, 2024","['English', 'Mandarin']","$85,000,000","$130,937,355",['Color'],"Jack Black, Awkwafina, Viola Davis, Dustin Hoffman, Bryan Cranston","Animation, Action, Adventure"
Anatomy of a Fall,2023,2h 31m,7.8,96K,"August 23, 2023","['French', 'English']","$5,076,369","$117,848",['Color'],"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz, Samuel Theis","Crime, Drama, Thriller"
The Holdovers,2023,2h 13m,8.0,126K,"February 9, 2024",['English'],"$20,355,375","$211,093",['Color'],"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston, Brady Hepner","Comedy, Drama"
American Fiction,2023,1h 57m,7.6,60K,"December 22, 2023",['English'],"$21,098,470","$224,469",['Color'],"Jeffrey Wright, Tracee Ellis Ross, John Ortiz, Erika Alexander, Leslie Uggams","Comedy, Drama"
Wonka,2023,1h 56m,7.1,123K,"December 8, 2023",['English'],"$125,000,000","$218,232,387",['Color'],"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond, Bertie Caplan","Adventure, Comedy, Family"
The Gentlemen,2019,1h 53m,7.8,391K,"January 31, 2020","['Spanish', 'Russian', 'English']","$22,000,000","$36,471,795",['Color'],"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong, Lyne Renée","Action, Crime"
Dune,1984,2h 17m,6.3,176K,"December 14, 1984",['English'],"$40,000,000","$30,925,690",['Color'],"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino, Brad Dourif","Action, Adventure, Sci-Fi"
