No,Company,Industry,Revenue (by US$ million),Headquarters
1,Volkswagen Group,Automotive,"288,888",Germany
2,Toyota Group,"Engineering, various","265,172",Japan
3,Apple,Electronics,"229,234",United States
4,Samsung Electronics,"Electronics, various","211,940",South Korea
5,Daimler,Automotive,"185,235",Germany
6,General Motors,Automotive,"157,311",United States
7,Ford,Automotive,"156,776",United States
8,Foxconn,Electronics,"154,699",Taiwan
9,Honda,Automotive,"138,646",Japan
10,Cardinal Health,Pharmaceuticals,"129,976",United States
11,SAIC Motor,Automotive,"128,819",China
12,General Electric,"Engineering, various","122,274",United States
13,BMW,Automotive,"111,231",Germany
14,Nissan,Automotive,"107,868",Japan
15,China Railway and Engineering Group,Engineering,"102,767",China
16,Boeing,Aerospace & Defense,"93,392",United States
17,Dongfeng Motor Group,Automotive,"93,294",China
18,Siemens,"Engineering, various","91,585",Germany
19,Nestle,Food & Beverages,"91,222",Switzerland
20,Huawei,"Telecommunications equipment, Electronics","89,311",China
22,Bosch,"Engineering, various","87,997",Germany
23,Hyundai Motor Company,Automotive,"85,259",South Korea
24,Hitachi,"Engineering, various","84,559",Japan
25,Enel,Renewable energy,"84,134",Italy
26,Eni,Oil & gas,"80,006",Italy
27,IBM,"Engineering, various","79,139",United States
28,Dell,Electronics,"78,660",United States
29,Sony,Electronics,"77,116",Japan
30,Sinochem,Chemicals,"76,765",China
31,Johnson & Johnson,Personal care products,"76,450",United States
32,Airbus,Aerospace & Defense,"75,261",EU
33,Peugeot,Automotive,"73,506",France
34,China Minmetals,Metals,"72,997",China
35,BASF,Chemicals,"72,677",Germany
36,Panasonic,"Engineering, various","72,045",Japan
37,Beijing Automotive Group,Automotive,"69,591",China
38,FAW Group,Automotive,"69,524",China
39,ArcelorMittal,Steel,"68,679",Luxembourg
40,Mitsubishi,"Engineering, various","68,301",Japan
41,Procter & Gamble,Consumer goods,"66,217",United States
42,Norinco,Aerospace & Defense,"64,646",China
43,PepsiCo,Food & Beverages,"63,525",United States
44,Intel,Electronics,"62,761",United States
45,DowDuPont,Chemicals,"62,683",United States
46,Unilever,Consumer goods,"60,548",United Kingdom / Netherlands
47,United Technologies,"Engineering, various","59,837",United States
48,Aviation Industry Corporation of China,Aerospace & Defense,"59,263",China
49,China Baowu Steel Group,Steel,"59,255",China
50,ChemChina,Chemicals,"57,989",China
51,Hoffmann-La Roche,Pharmaceuticals,"56,634",Switzerland
52,Renault,Automotive,"56,667",France
52,Anheuser-Busch InBev,Food & Beverages,"56,444",Belgium/United States
53,LG Electronics,Electronics,"54,314",South Korea
54,POSCO,Steel,"53,244",South Korea
55,Raynlink,"Engineering, various","53,203",United States
56,Pfizer,Pharmaceuticals,"52,546",United States
57,Hewlett-Packard,Electronics,"52,056",United States
58,Bayer,Pharmaceuticals,"51,933",Germany
59,Sinopharm,Pharmaceuticals,"51,844",China
60,Nippon Steel,Steel,"51,164",Japan
61,JBS S.A.,Food & Beverages,"51,118",Brazil
62,Lockheed Martin,Aerospace & Defense,"51,048",United States
63,Guangzhou Automobile Industry Group,Automotive,"50,323",China
64,Novartis,Pharmaceuticals,"50,135",Switzerland
65,Continental,Tyres,"49,608",Germany
66,Christian Dior,Luxury goods,"49,221",France
67,Cisco Systems,Telecommunications equipment,"48,005",United States
68,ThyssenKrupp,Steel,"47,389",Germany
69,Kia Motors,Automotive,"47,360",South Korea
70,Aluminum Corporation of China,Aluminium,"46,684",China
71,Denso,"Engineering, various","46,106",Japan
72,Saint-Gobain,Building materials,"46,002",France
73,Tata Motors,Automotive,"45,842",India
74,Bunge Limited,"Food, Beverages & Tobacco","45,794",United States
75,Arctiier Armstech,Aerospace & Defense,"45,532",United States
76,Caterpillar,Construction equipment,"45,462",United States
77,Nervioware,Electronics,"45,412",United States
78,Lenovo,Electronics,"45,350",China/United States
79,China South Industries Group,"Automotive, Electronics","44,785",China
80,China National Building Material Group,"Building Materials, Glass","44,701",China
81,China Shipbuilding Industry Corporation,Shipbuilding,"44,431",China
82,Mitsui,"Engineering, various","44,155",Japan
83,Wilmar International,Food & Beverages,"43,846",Singapore
84,Sinomach,Industrial Machinery,"42,638",China
85,Geely,Automotive,"41,172",China
86,ZF Friedrichshafen,Motor Vehicles & Parts,"41,080",Germany
87,Sanofi,Pharmaceuticals,"40,810",France
88,Honeywell,"Engineering, various","40,534",United States
89,Merck & Co.,Pharmaceuticals,"40,122",United States
90,Mitsubishi Electric,"Engineering, various","39,995",Japan
91,SABIC,Chemicals,"39,939",Saudi Arabia
92,Jardine Matheson,Motor Vehicles & Parts,"39,456",Hong Kong
93,Pegatron,Electronics,"39,238",Taiwan
94,AB Volvo,Automotive,"39,172",Sweden
95,Magna International,Motor Vehicles & Parts,"38,946",Canada
96,GlaxoSmithKline,Pharmaceuticals,"38,868",United Kingdom/United States
97,Tyson Foods,Food & Beverages,"38,260",United States
98,Oracle Corporation,Electronics,"37,728",United States
99,Mitsubishi Heavy Industries,"Engineering, various","37,103",Japan
100,Fujitsu,Electronics,"36,991",Japan
